text,label
「さあ、祭りだ！」のゴールドが出ています。今週のあなたに「おとなしさ」はいりません。いつも通りに過ごす必要もありません。楽しい年末年始が始まっていくので、あなたらしく「景気よく」いきましょう。お友達で一番ふざけられる人たちと一緒に、そして、楽しい人と一緒に、今年を振り返ったり、くだらない話をしてみたりしてください。そして、そういうことがいろいろな事情があってできない人も、この年末年始にしかない街の空気を、散歩などをしながらも楽しんでください。牡羊座って、生きていく上で「非日常」が必要なのです。その非日常って、音楽が鳴り響く空間であったり、みんなが笑顔で楽しそうにしている場所であったり、あなた自身が普段着ないような服を着飾って出掛けたり。祭りの始まりです。めいいっぱい楽しんで！,aries
「文学的な時間」の水色が出ています。今週、ほんの少しの時間でも良いので、できる限り「ひとりの時間」を持ってみてください。それは散歩しながらでも良いですし、カフェなどに行ってもらっても良いので「2018年を振り返る」という時間を持ってほしいのです。牡牛座って、ほかの人たちと比べても「現実に対処する力」があるほうだと思います。「理想を叶えていくためには、ちゃんと足元にある現実から何とかしていかなければいけない」と、いろいろな地味なことに関しても手を打っていくことができる人だからです。そして、そういうあなたのエネルギーを支えるものって、実は「静かに、少人数やひとりで楽しむ時間」が大切だったりします。ドンチャン騒ぎではなくて、ただ静かに大地に落ちていく葉っぱを眺めたりだとか、そういう「詩的」な時間が必要なのです。,taurus
「手作りのお祝い」を表す茶色が出ています。今週は2018年が終わり、いよいよ2019年が始まる週になります。その時にあなたにやってほしいのが、「手作りのお祝い」なのです。もちろん、年末年始、お友達や家族と一緒にどこかに出掛けるのも大切にしてほしいのですが、今のあなたは自分でサラダを作ってみたりとか、掃除をしてみたりとか、友達に送るお正月の挨拶の画像を作ってみたりだとか、そういう手作りの作業を大切にしてみてください。今週に入るまで、結構緊張感を抱えて「やりきる！」と頑張ってきた双子座の人は多いです。ですから、少しだけほっこりする時間や、何もしない時間を作ってみて、この年末年始はゆっくりすることも大切にしてみてください。,gemini
「きちんと新年を迎える」の赤が出ています。この時期のあなたは「普段自分が使っているエネルギーの50％」ぐらいまで落とすのが仕事になったりします。そうです、結構この時期徹底的にグダグダしてしまうのがあなたの仕事になったりするのです。もちろん、いろいろなタイミングがあってグダグダもしていられない人もいらっしゃると思います。でも、そういう人もどこかで一息ついて、自分ひとりでも良いし、親しい人に連絡するのでも良いので「今年一年お世話になりました。来年もよろしくお願いします」というメッセージは送ってあげてくださいね。蟹座って、グダグダしていても「節目」をすごく大切にします。ですから、親しい人とともに新年後でも良いので「今年もよろしくお願いします」と襟を正して伝えていってください。,cancer
「ちゃんと温かいお茶を飲むこと」の黄色が出ています。獅子座って自分で「こういうことをやっていく」という目標があると、休日も関係なく、その目標に向けて努力をしたり、今やるべきことを済ましていくこともできます。でも、この2018年、本当にあなたは「いつもギリギリまで何かに向き合っている。何かに突き動かされるかのように、自分にしかできないことをやってきた」という、いつもよりも「ギリギリ感」があって、それを楽しんできたかのように過ごしてきました。だからこそ、この年末年始は少しノンビリする時間も持ってみてください。今週は、必要最低限の約束事以外は、「ちょっと風邪気味で。ゴホゴホ」とか言ってサボってしまうのもありです。,leo
「視界を狭めること」の茶色が出ています。まず、乙女座にとって激動の2018年が無事ここまで迎えられたことに対して、「本当にお疲れさまでした」と伝えさせてください。そして、この年末年始であなたはなるべくぼーっとする時間も持って、英気を養う時間に宛ててほしいのです。乙女座って、目や鼻や、一緒にいる人が発する振動とか、そういう雰囲気レベルでの「気づき」にすごい敏感です。ですから、あなたが自分を回復するためには「なるべく5感をゆるやかに閉ざす」という時間が必要なのです。年末年始、どこかで携帯電話は「未読スルー」をする時間を持ったり、景色を眺めながらゆっくりと甘酒を飲んだり、そういう時間を持ってほしいのです。まさしく、大切なOFFの時間。,virgo
「気難しさも抱えてきた」のネイビーも出ています。はじめに、2018年のあなたにとって大事な感情は「壊したい」というものだったのです。それは「今までの自分を壊したい」とか「今抱えているものを壊したい」とか。この「壊したい」はネガティブなものではなくて、「そろそろ、今までの自分のイメージに、自分が飽きた」というものだったのです。だから、あなたは2018年の12月になっても自分を恥じたり、「もっとだ。もっと私はできる」と自分を追い込んだり、精神的にはタフな時期を過ごしてきました。年末年始、ちゃんとゆっくりしましょう。あなたは間違いなく2018年を通して「尖ること」や「自分が大切にしたいことを推進していく」活動をしてきました。だから、ゆっくりすることも必要になってきています。,libra
「気持ちを清めながら」の水色が出ています。今週もそうなのですが、2018年の蠍座って「旅をしてきた」みたいな感覚があって、それは実際の「旅行」ということではなくて、「あー、人生っていろいろな景色なり、人なりが入れ替わっていくんだ。そして多分、私も次の旅路に出ようとしている」という感覚を強く持っていると思うのです。時間があるときに今年を振り返ってほしいのですが、2018年って結構激変というか、あなたの中で「私も次を見ていきたい」という気持ちが強まったと思うのです。蠍座って「自分がお世話になった人たちみんなで」一緒にいようとすることがあります。でも、今のあなたって「ひとりでも行動しようとする自分」がいることを発見します。,scorpio
「収まるべきところに収まる」のエメラルドが出ています。射手座って「可能性を探求する人」でもあります。たとえば、普通の人なら、ある計画やあるアイデアに目星がついたら「じゃあそれでやろう」ってなります。でも、射手座って「もっとほかにも可能性があるかも！」と考えて、すごく強い集中力を使っていろいろなパターンを考えたりします。そういう、「物事がもっと楽しくなる方向」について考えるのが苦ではないのです。でも、今のあなたって、表面的には元気を装う部分があっても、何か、心の中での選択肢はひとつに決まっていることが多いです。2018年がすごく不思議な年だったから。いつものあなたのように「とにかく動いて可能性を広げていく」というよりは「物事も、そして、私の状況も、収まるべきところに収まっていくんだろうなぁ」という、静かに、感謝しながら眺める目線が強かったのです。,sagittarius
「おいしいものを食べる」の森の色が出ています。はじめにお伝えしたいのですが、この年末年始のあなたのミッションって「おいしいものを、味わって食べる。以上」です。あとはできるだけダラダラすること。もちろん、勉強などやらなければいけないことがある人もいると思うのですが、「気を抜く時間」も持ってください。おすすめなのが、散歩です。「ひとり路線バス」や「誰かと一緒にいく、電車の旅」などもおすすめです。山羊座って、お正月の縁日とか、屋台とか、そういう「子どもの頃に見て、楽しいと思ったものに触れて童心に帰る」とすごくリラックスできます。ぜひ、「屋台に行ったら何を食べるんだ」と決めて出かけてみてください。今週ばかりは自分の緊張感を解除して、自分と、自分の身近な人の幸せを願って「あー、蟹おいしい」とか言いながらおいしいものを食べているだけの人になりましょう。,capricorn
